drugbank_id	drugbank_name	class_id	class_name
DB00139	Succinic acid	CHEBI:50733	nutraceutical
DB00140	Riboflavin	CHEBI:47868	photosensitizing agent
DB00140	Riboflavin	CHEBI:77182	food colouring
DB00140	Riboflavin	CHEBI:75769	B vitamin
DB00140	Riboflavin	D003879	Dermatologic Agents
DB00140	Riboflavin	D006133	Growth Substances
DB00140	Riboflavin	D018977	Micronutrients
DB00140	Riboflavin	D017319	Photosensitizing Agents
DB00140	Riboflavin	D011838	Radiation-Sensitizing Agents
DB00140	Riboflavin	D014803	Vitamin B Complex
DB00140	Riboflavin	D014815	Vitamins
DB00143	Glutathione	CHEBI:85046	skin lightening agent
DB00145	Glycine	CHEBI:50733	nutraceutical
DB00145	Glycine	CHEBI:62868	hepatoprotective agent
DB00145	Glycine	CHEBI:64571	NMDA receptor agonist
DB00145	Glycine	D018684	Glycine Agents
DB00145	Glycine	D018377	Neurotransmitter Agents
DB00146	Calcidiol	CHEBI:50646	bone density conservation agent
DB00146	Calcidiol	CHEBI:50733	nutraceutical
DB00146	Calcidiol	D050071	Bone Density Conservation Agents
DB00146	Calcidiol	D006133	Growth Substances
DB00146	Calcidiol	D018977	Micronutrients
DB00146	Calcidiol	D014815	Vitamins
DB00147	Pyridoxal	D006133	Growth Substances
DB00147	Pyridoxal	D018977	Micronutrients
DB00147	Pyridoxal	D014803	Vitamin B Complex
DB00147	Pyridoxal	D014815	Vitamins
DB00147	Pyridoxal	D006133	Growth Substances
DB00147	Pyridoxal	D018977	Micronutrients
DB00147	Pyridoxal	D014803	Vitamin B Complex
DB00147	Pyridoxal	D014815	Vitamins
DB00152	Thiamine	D006133	Growth Substances
DB00152	Thiamine	D018977	Micronutrients
DB00152	Thiamine	D014803	Vitamin B Complex
DB00152	Thiamine	D014815	Vitamins
DB00153	Ergocalciferol	N0000006337	Ergocalciferols
DB00153	Ergocalciferol	N0000175909	Provitamin D2 Compound
DB00153	Ergocalciferol	CHEBI:50733	nutraceutical
DB00153	Ergocalciferol	CHEBI:50646	bone density conservation agent
DB00153	Ergocalciferol	CHEBI:33288	rodenticide
DB00158	Folic Acid	CHEBI:75769	B vitamin
DB00158	Folic Acid	D006133	Growth Substances
DB00158	Folic Acid	D006397	Hematinics
DB00158	Folic Acid	D006401	Hematologic Agents
DB00158	Folic Acid	D018977	Micronutrients
DB00158	Folic Acid	D014803	Vitamin B Complex
DB00158	Folic Acid	D014815	Vitamins
DB00160	L-Alanine	N0000175780	Amino Acid
DB00160	L-Alanine	N0000006806	Amino Acids
DB00161	L-Valine	CHEBI:50733	nutraceutical
DB00162	Vitamin A	N0000006269	Vitamin A
DB00162	Vitamin A	D006133	Growth Substances
DB00162	Vitamin A	D018977	Micronutrients
DB00162	Vitamin A	D014815	Vitamins
DB00163	Vitamin E	D000975	Antioxidants
DB00163	Vitamin E	D006133	Growth Substances
DB00163	Vitamin E	D018977	Micronutrients
DB00163	Vitamin E	D020011	Protective Agents
DB00163	Vitamin E	D014815	Vitamins
DB00165	Pyridoxine	D006133	Growth Substances
DB00165	Pyridoxine	D018977	Micronutrients
DB00165	Pyridoxine	D014803	Vitamin B Complex
DB00165	Pyridoxine	D014815	Vitamins
DB00166	Lipoic Acid	D000975	Antioxidants
DB00166	Lipoic Acid	D006133	Growth Substances
DB00166	Lipoic Acid	D018977	Micronutrients
DB00166	Lipoic Acid	D020011	Protective Agents
DB00166	Lipoic Acid	D014803	Vitamin B Complex
DB00166	Lipoic Acid	D014815	Vitamins
DB00169	Cholecalciferol	N0000006277	Vitamin D
DB00169	Cholecalciferol	D050071	Bone Density Conservation Agents
DB00169	Cholecalciferol	D006133	Growth Substances
DB00169	Cholecalciferol	D018977	Micronutrients
DB00169	Cholecalciferol	D014815	Vitamins
DB00171	Adenosine triphosphate	CHEBI:50733	nutraceutical
DB00640	Adenosine	CHEBI:50733	nutraceutical
DB00174	L-Asparagine	CHEBI:50733	nutraceutical
DB00175	Pravastatin	N0000175589	HMG-CoA Reductase Inhibitor
DB00175	Pravastatin	CHEBI:35821	anticholesteremic drug
DB00175	Pravastatin	D000924	Anticholesteremic Agents
DB00175	Pravastatin	D000963	Antimetabolites
DB00175	Pravastatin	D004791	Enzyme Inhibitors
DB00175	Pravastatin	D019161	Hydroxymethylglutaryl-CoA Reductase Inhibitors
DB00175	Pravastatin	D000960	Hypolipidemic Agents
DB00176	Fluvoxamine	N0000175696	Serotonin Reuptake Inhibitor
DB00176	Fluvoxamine	D014151	Anti-Anxiety Agents
DB00176	Fluvoxamine	CHEBI:50949	serotonin uptake inhibitor
DB00176	Fluvoxamine	CHEBI:35474	anxiolytic drug
DB00176	Fluvoxamine	CHEBI:35469	antidepressant
DB00176	Fluvoxamine	D000928	Antidepressive Agents
DB00176	Fluvoxamine	D018687	Antidepressive Agents, Second-Generation
DB00176	Fluvoxamine	D002491	Central Nervous System Agents
DB00176	Fluvoxamine	D002492	Central Nervous System Depressants
DB00176	Fluvoxamine	D065609	Cytochrome P-450 CYP1A2 Inhibitors
DB00176	Fluvoxamine	D065689	Cytochrome P-450 CYP2C19 Inhibitors
DB00176	Fluvoxamine	D065607	Cytochrome P-450 Enzyme Inhibitors
DB00176	Fluvoxamine	D004791	Enzyme Inhibitors
DB00176	Fluvoxamine	D049990	Membrane Transport Modulators
DB00176	Fluvoxamine	D018377	Neurotransmitter Agents
DB00176	Fluvoxamine	D014179	Neurotransmitter Uptake Inhibitors
DB00176	Fluvoxamine	D011619	Psychotropic Drugs
DB00176	Fluvoxamine	D018490	Serotonin Agents
DB00176	Fluvoxamine	D017367	Serotonin Uptake Inhibitors
DB00176	Fluvoxamine	D014149	Tranquilizing Agents
DB00177	Valsartan	N0000000070	Angiotensin 2 Receptor Antagonists
DB00177	Valsartan	N0000175561	Angiotensin 2 Receptor Blocker
DB00177	Valsartan	D047228	Angiotensin II Type 1 Receptor Blockers
DB00177	Valsartan	D057911	Angiotensin Receptor Antagonists
DB00177	Valsartan	CHEBI:35674	antihypertensive agent
DB00177	Valsartan	CHEBI:61016	angiotensin receptor antagonist
DB00177	Valsartan	D000959	Antihypertensive Agents
DB00177	Valsartan	D002317	Cardiovascular Agents
DB00178	Ramipril	N0000175562	Angiotensin Converting Enzyme Inhibitor
DB00178	Ramipril	D000806	Angiotensin-Converting Enzyme Inhibitors
DB00178	Ramipril	CHEBI:50266	prodrug
DB00178	Ramipril	CHEBI:77307	cardioprotective agent
DB00178	Ramipril	CHEBI:35457	EC 3.4.15.1 (peptidyl-dipeptidase A) inhibitor
DB00178	Ramipril	D000959	Antihypertensive Agents
DB00178	Ramipril	D002317	Cardiovascular Agents
DB00178	Ramipril	D004791	Enzyme Inhibitors
DB00178	Ramipril	D011480	Protease Inhibitors
DB00179	Masoprocol	D000700	Analgesics
DB00179	Masoprocol	D018712	Analgesics, Non-Narcotic
DB00179	Masoprocol	D000893	Anti-Inflammatory Agents
DB00179	Masoprocol	D000894	Anti-Inflammatory Agents, Non-Steroidal
DB00179	Masoprocol	CHEBI:35610	antineoplastic agent
DB00179	Masoprocol	CHEBI:35526	hypoglycemic agent
DB00179	Masoprocol	D000975	Antioxidants
DB00179	Masoprocol	D018501	Antirheumatic Agents
DB00179	Masoprocol	D016861	Cyclooxygenase Inhibitors
DB00179	Masoprocol	D004791	Enzyme Inhibitors
DB00179	Masoprocol	D016859	Lipoxygenase Inhibitors
DB00179	Masoprocol	D020011	Protective Agents
DB00179	Masoprocol	D018689	Sensory System Agents
DB00180	Flunisolide	D018927	Anti-Asthmatic Agents
DB00180	Flunisolide	D000893	Anti-Inflammatory Agents
DB00180	Flunisolide	CHEBI:35705	immunosuppressive agent
DB00180	Flunisolide	CHEBI:35472	anti-inflammatory drug
DB00180	Flunisolide	CHEBI:49167	anti-asthmatic drug
DB00180	Flunisolide	D019141	Respiratory System Agents
DB00181	Baclofen	N0000000196	GABA A Agonists
DB00181	Baclofen	N0000000116	GABA B Agonists
DB00181	Baclofen	N0000175759	gamma-Aminobutyric Acid-ergic Agonist
DB00181	Baclofen	CHEBI:51371	muscle relaxant
DB00181	Baclofen	CHEBI:35488	central nervous system depressant
DB00181	Baclofen	CHEBI:51373	GABA agonist
DB00181	Baclofen	D002491	Central Nervous System Agents
DB00181	Baclofen	D018682	GABA Agents
DB00181	Baclofen	D018755	GABA Agonists
DB00181	Baclofen	D058786	GABA-B Receptor Agonists
DB00181	Baclofen	D009125	Muscle Relaxants, Central
DB00181	Baclofen	D009465	Neuromuscular Agents
DB00181	Baclofen	D018377	Neurotransmitter Agents
DB00182	Amphetamine	N0000175739	Central Nervous System Stimulant
DB00182	Amphetamine	N0000175729	Central Nervous System Stimulation
DB00182	Amphetamine	D018663	Adrenergic Agents
DB00182	Amphetamine	D018759	Adrenergic Uptake Inhibitors
DB00182	Amphetamine	CHEBI:35524	sympathomimetic agent
DB00182	Amphetamine	CHEBI:48560	dopaminergic agent
DB00182	Amphetamine	CHEBI:37962	adrenergic agent
DB00182	Amphetamine	CHEBI:51039	dopamine uptake inhibitor
DB00182	Amphetamine	CHEBI:35640	adrenergic uptake inhibitor
DB00182	Amphetamine	D002491	Central Nervous System Agents
DB00182	Amphetamine	D000697	Central Nervous System Stimulants
DB00182	Amphetamine	D015259	Dopamine Agents
DB00182	Amphetamine	D018765	Dopamine Uptake Inhibitors
DB00182	Amphetamine	D049990	Membrane Transport Modulators
DB00182	Amphetamine	D018377	Neurotransmitter Agents
DB00182	Amphetamine	D014179	Neurotransmitter Uptake Inhibitors
DB00182	Amphetamine	D013566	Sympathomimetics
DB00184	Nicotine	N0000175706	Cholinergic Nicotinic Agonist
DB00184	Nicotine	N0000006496	Nicotine
DB00184	Nicotine	CHEBI:35474	anxiolytic drug
DB00184	Nicotine	CHEBI:47958	nicotinic acetylcholine receptor agonist
DB00184	Nicotine	CHEBI:22917	phytogenic insecticide
DB00184	Nicotine	D018678	Cholinergic Agents
DB00184	Nicotine	D018679	Cholinergic Agonists
DB00184	Nicotine	D005731	Ganglionic Stimulants
DB00184	Nicotine	D018377	Neurotransmitter Agents
DB00184	Nicotine	D018722	Nicotinic Agonists
DB00185	Cevimeline	N0000000104	Cholinergic Muscarinic Agonists
DB00185	Cevimeline	N0000175884	Cholinergic Receptor Agonist
DB00185	Cevimeline	CHEBI:38325	muscarinic agonist
DB00185	Cevimeline	D018678	Cholinergic Agents
DB00185	Cevimeline	D018679	Cholinergic Agonists
DB00185	Cevimeline	D018721	Muscarinic Agonists
DB00185	Cevimeline	D018377	Neurotransmitter Agents
DB00185	Cevimeline	D010277	Parasympathomimetics
DB00186	Lorazepam	N0000175694	Benzodiazepine
DB00186	Lorazepam	N0000007542	Benzodiazepines
DB00186	Lorazepam	D014151	Anti-Anxiety Agents
DB00186	Lorazepam	D000927	Anticonvulsants
DB00186	Lorazepam	D000932	Antiemetics
DB00186	Lorazepam	D002491	Central Nervous System Agents
DB00186	Lorazepam	D002492	Central Nervous System Depressants
DB00186	Lorazepam	D018682	GABA Agents
DB00186	Lorazepam	D018757	GABA Modulators
DB00186	Lorazepam	D005765	Gastrointestinal Agents
DB00186	Lorazepam	D006993	Hypnotics and Sedatives
DB00186	Lorazepam	D018377	Neurotransmitter Agents
DB00186	Lorazepam	D011619	Psychotropic Drugs
DB00186	Lorazepam	D014149	Tranquilizing Agents
DB00187	Esmolol	N0000175556	beta-Adrenergic Blocker
DB00187	Esmolol	D018663	Adrenergic Agents
DB00187	Esmolol	D018674	Adrenergic Antagonists
DB00187	Esmolol	D058671	Adrenergic beta-1 Receptor Antagonists
DB00187	Esmolol	D000319	Adrenergic beta-Antagonists
DB00187	Esmolol	CHEBI:35530	beta-adrenergic antagonist
DB00187	Esmolol	CHEBI:38070	anti-arrhythmia drug
DB00187	Esmolol	D018377	Neurotransmitter Agents
DB00188	Bortezomib	N0000175075	Proteasome Inhibitors
DB00188	Bortezomib	CHEBI:35610	antineoplastic agent
DB00188	Bortezomib	CHEBI:52726	proteasome inhibitor
DB00188	Bortezomib	D000970	Antineoplastic Agents
DB00189	Ethchlorvynol	CHEBI:35717	sedative
DB00189	Ethchlorvynol	D002491	Central Nervous System Agents
DB00189	Ethchlorvynol	D002492	Central Nervous System Depressants
DB00189	Ethchlorvynol	D006993	Hypnotics and Sedatives
DB00190	Carbidopa	N0000175754	Aromatic Amino Acid Decarboxylation Inhibitor
DB00190	Carbidopa	N0000175755	DOPA Decarboxylase Inhibitors
DB00190	Carbidopa	D018726	Anti-Dyskinesia Agents
DB00190	Carbidopa	CHEBI:66956	antidyskinesia agent
DB00190	Carbidopa	CHEBI:48407	antiparkinson drug
DB00190	Carbidopa	CHEBI:48560	dopaminergic agent
DB00190	Carbidopa	D000978	Antiparkinson Agents
DB00190	Carbidopa	D065105	Aromatic Amino Acid Decarboxylase Inhibitors
DB00190	Carbidopa	D002491	Central Nervous System Agents
DB00190	Carbidopa	D015259	Dopamine Agents
DB00190	Carbidopa	D004791	Enzyme Inhibitors
DB00190	Carbidopa	D018377	Neurotransmitter Agents
DB00191	Phentermine	N0000175372	Appetite Suppression
DB00191	Phentermine	N0000175651	Increased Sympathetic Activity
DB00191	Phentermine	N0000175423	Sympathomimetic Amine Anorectic
DB00191	Phentermine	D018663	Adrenergic Agents
DB00191	Phentermine	CHEBI:48560	dopaminergic agent
DB00191	Phentermine	CHEBI:37962	adrenergic agent
DB00191	Phentermine	CHEBI:35524	sympathomimetic agent
DB00191	Phentermine	CHEBI:50507	appetite depressant
DB00191	Phentermine	CHEBI:35470	central nervous system drug
DB00191	Phentermine	CHEBI:35337	central nervous system stimulant
DB00191	Phentermine	D019440	Anti-Obesity Agents
DB00191	Phentermine	D001067	Appetite Depressants
DB00191	Phentermine	D002491	Central Nervous System Agents
DB00191	Phentermine	D000697	Central Nervous System Stimulants
DB00191	Phentermine	D018377	Neurotransmitter Agents
DB00191	Phentermine	D013566	Sympathomimetics
DB00193	Tramadol	N0000175684	Full Opioid Agonists
DB00193	Tramadol	N0000175690	Opioid Agonist
DB00193	Tramadol	D000700	Analgesics
DB00193	Tramadol	D000701	Analgesics, Opioid
DB00193	Tramadol	CHEBI:35640	adrenergic uptake inhibitor
DB00193	Tramadol	CHEBI:48876	muscarinic antagonist
DB00193	Tramadol	CHEBI:35482	opioid analgesic
DB00193	Tramadol	CHEBI:51177	antitussive
DB00193	Tramadol	CHEBI:55322	mu-opioid receptor agonist
DB00193	Tramadol	CHEBI:59282	kappa-opioid receptor agonist
DB00193	Tramadol	CHEBI:50949	serotonin uptake inhibitor
DB00193	Tramadol	CHEBI:48279	serotonergic antagonist
DB00193	Tramadol	CHEBI:48878	nicotinic antagonist
DB00193	Tramadol	D002491	Central Nervous System Agents
DB00193	Tramadol	D002492	Central Nervous System Depressants
DB00193	Tramadol	D009294	Narcotics
DB00193	Tramadol	D018689	Sensory System Agents
DB00194	Vidarabine	D000890	Anti-Infective Agents
DB00194	Vidarabine	D000963	Antimetabolites
DB00194	Vidarabine	D000998	Antiviral Agents
DB00194	Vidarabine	D009676	Noxae
DB00195	Betaxolol	N0000175556	beta-Adrenergic Blocker
DB00195	Betaxolol	D018663	Adrenergic Agents
DB00195	Betaxolol	D018674	Adrenergic Antagonists
DB00195	Betaxolol	D058671	Adrenergic beta-1 Receptor Antagonists
DB00195	Betaxolol	D000319	Adrenergic beta-Antagonists
DB00195	Betaxolol	CHEBI:66991	sympatholytic agent
DB00195	Betaxolol	CHEBI:35530	beta-adrenergic antagonist
DB00195	Betaxolol	CHEBI:35674	antihypertensive agent
DB00195	Betaxolol	D000959	Antihypertensive Agents
DB00195	Betaxolol	D002317	Cardiovascular Agents
DB00195	Betaxolol	D018377	Neurotransmitter Agents
DB00195	Betaxolol	D013565	Sympatholytics
DB00196	Fluconazole	N0000175487	Azole Antifungal
DB00196	Fluconazole	N0000008217	Azoles
DB00196	Fluconazole	N0000182140	Cytochrome P450 2C19 Inhibitors
DB00196	Fluconazole	N0000182141	Cytochrome P450 3A4 Inhibitors
DB00196	Fluconazole	N0000185504	Cytochrome P450 2C9 Inhibitors
DB00196	Fluconazole	D058888	14-alpha Demethylase Inhibitors
DB00196	Fluconazole	D000890	Anti-Infective Agents
DB00196	Fluconazole	D000935	Antifungal Agents
DB00196	Fluconazole	D065689	Cytochrome P-450 CYP2C19 Inhibitors
DB00196	Fluconazole	D065688	Cytochrome P-450 CYP2C9 Inhibitors
DB00196	Fluconazole	D065607	Cytochrome P-450 Enzyme Inhibitors
DB00196	Fluconazole	D004791	Enzyme Inhibitors
DB00196	Fluconazole	D006727	Hormone Antagonists
DB00196	Fluconazole	D065088	Steroid Synthesis Inhibitors
DB00198	Oseltamivir	N0000175524	Neuraminidase Inhibitor
DB00198	Oseltamivir	N0000175436	Neuraminidase Inhibitors
DB00198	Oseltamivir	D000890	Anti-Infective Agents
DB00198	Oseltamivir	CHEBI:50266	prodrug
DB00198	Oseltamivir	CHEBI:52425	EC 3.2.1.18 (exo-alpha-sialidase) inhibitor
DB00198	Oseltamivir	CHEBI:36044	antiviral drug
DB00198	Oseltamivir	D000998	Antiviral Agents
DB00198	Oseltamivir	D004791	Enzyme Inhibitors
DB00199	Erythromycin	N0000009982	Decreased Sebaceous Gland Activity
DB00199	Erythromycin	N0000175877	Macrolide
DB00199	Erythromycin	N0000175935	Macrolide Antimicrobial
DB00199	Erythromycin	N0000007529	Macrolides
DB00199	Erythromycin	D000900	Anti-Bacterial Agents
DB00199	Erythromycin	D000890	Anti-Infective Agents
DB00199	Erythromycin	D004791	Enzyme Inhibitors
DB00199	Erythromycin	D005765	Gastrointestinal Agents
DB00199	Erythromycin	D011500	Protein Synthesis Inhibitors
DB00200	Hydroxocobalamin	N0000175429	Antidote
DB00200	Hydroxocobalamin	D006133	Growth Substances
DB00200	Hydroxocobalamin	D006397	Hematinics
DB00200	Hydroxocobalamin	D006401	Hematologic Agents
DB00200	Hydroxocobalamin	D018977	Micronutrients
DB00200	Hydroxocobalamin	D014803	Vitamin B Complex
DB00200	Hydroxocobalamin	D014815	Vitamins
DB00201	Caffeine	N0000175729	Central Nervous System Stimulation
DB00201	Caffeine	N0000175790	Methylxanthine
DB00201	Caffeine	N0000008118	Xanthines
DB00201	Caffeine	CHEBI:35471	psychotropic drug
DB00201	Caffeine	CHEBI:35498	diuretic
DB00201	Caffeine	CHEBI:64047	food additive
DB00201	Caffeine	CHEBI:60809	adjuvant
DB00201	Caffeine	CHEBI:35337	central nervous system stimulant
DB00201	Caffeine	D002491	Central Nervous System Agents
DB00201	Caffeine	D000697	Central Nervous System Stimulants
DB00201	Caffeine	D004791	Enzyme Inhibitors
DB00201	Caffeine	D018377	Neurotransmitter Agents
DB00201	Caffeine	D010726	Phosphodiesterase Inhibitors
DB00201	Caffeine	D058914	Purinergic Antagonists
DB00201	Caffeine	D058915	Purinergic P1 Receptor Antagonists
DB00202	Succinylcholine	N0000175719	Depolarizing Neuromuscular Blocker
DB00202	Succinylcholine	N0000175733	Neuromuscular Depolarizing Blockade
DB00202	Succinylcholine	CHEBI:51371	muscle relaxant
DB00202	Succinylcholine	CHEBI:88188	drug allergen
DB00202	Succinylcholine	CHEBI:51372	neuromuscular agent
DB00202	Succinylcholine	D009465	Neuromuscular Agents
DB00202	Succinylcholine	D009466	Neuromuscular Blocking Agents
DB00202	Succinylcholine	D009467	Neuromuscular Depolarizing Agents
DB00203	Sildenafil	N0000175599	Phosphodiesterase 5 Inhibitor
DB00203	Sildenafil	CHEBI:35620	vasodilator agent
DB00203	Sildenafil	D002317	Cardiovascular Agents
DB00203	Sildenafil	D004791	Enzyme Inhibitors
DB00203	Sildenafil	D058986	Phosphodiesterase 5 Inhibitors
DB00203	Sildenafil	D010726	Phosphodiesterase Inhibitors
DB00203	Sildenafil	D064804	Urological Agents
DB00203	Sildenafil	D014665	Vasodilator Agents
DB00204	Dofetilide	N0000175426	Antiarrhythmic
DB00204	Dofetilide	D000889	Anti-Arrhythmia Agents
DB00204	Dofetilide	CHEBI:38070	anti-arrhythmia drug
DB00204	Dofetilide	D002317	Cardiovascular Agents
DB00204	Dofetilide	D049990	Membrane Transport Modulators
DB00204	Dofetilide	D026902	Potassium Channel Blockers
DB00205	Pyrimethamine	N0000175934	Dihydrofolate Reductase Inhibitor Antimalarial
DB00205	Pyrimethamine	N0000000191	Dihydrofolate Reductase Inhibitors
DB00205	Pyrimethamine	D000890	Anti-Infective Agents
DB00205	Pyrimethamine	CHEBI:38068	antimalarial
DB00205	Pyrimethamine	CHEBI:35820	antiprotozoal drug
DB00205	Pyrimethamine	D000962	Antimalarials
DB00205	Pyrimethamine	D000977	Antiparasitic Agents
DB00205	Pyrimethamine	D000981	Antiprotozoal Agents
DB00205	Pyrimethamine	D004791	Enzyme Inhibitors
DB00205	Pyrimethamine	D005493	Folic Acid Antagonists
DB00206	Reserpine	N0000175640	Catecholamine-depleting Sympatholytic
DB00206	Reserpine	N0000175650	Decreased Sympathetic Activity
DB00206	Reserpine	D018663	Adrenergic Agents
DB00206	Reserpine	D018759	Adrenergic Uptake Inhibitors
DB00206	Reserpine	CHEBI:65190	first generation antipsychotic
DB00206	Reserpine	CHEBI:35640	adrenergic uptake inhibitor
DB00206	Reserpine	CHEBI:35674	antihypertensive agent
DB00206	Reserpine	D000959	Antihypertensive Agents
DB00206	Reserpine	D014150	Antipsychotic Agents
DB00206	Reserpine	D002317	Cardiovascular Agents
DB00206	Reserpine	D002491	Central Nervous System Agents
DB00206	Reserpine	D002492	Central Nervous System Depressants
DB00206	Reserpine	D049990	Membrane Transport Modulators
DB00206	Reserpine	D018377	Neurotransmitter Agents
DB00206	Reserpine	D014179	Neurotransmitter Uptake Inhibitors
DB00206	Reserpine	D011619	Psychotropic Drugs
DB00206	Reserpine	D014149	Tranquilizing Agents
DB00207	Azithromycin	N0000175935	Macrolide Antimicrobial
DB00207	Azithromycin	N0000007529	Macrolides
DB00207	Azithromycin	D000900	Anti-Bacterial Agents
DB00207	Azithromycin	D000890	Anti-Infective Agents
DB00208	Ticlopidine	N0000008832	Decreased Platelet Aggregation
DB00208	Ticlopidine	CHEBI:48676	fibrin modulating drug
