GeneID	drugbank_id	drugbank_name	TARGET_NAME	TARGET_FAMILY	ACTION_TYPE	SOURCE	REFERENCE
3777	DB01159	Halothane	Potassium channel subfamily K member 3	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931
3777	DB01189	Desflurane	Potassium channel subfamily K member 3	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200733
3777	DB01236	Sevoflurane	Potassium channel subfamily K member 3	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200694
2563	DB00306	Talbutal	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200802
2563	DB00546	Adinazolam	GABA-A receptor	Ion channel	POSITIVE ALLOSTERIC MODULATOR	KEGG DRUG	http://www.kegg.jp/entry/D02770
2563	DB00753	Isoflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256
2563	DB00801	Halazepam	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL970
2563	DB00897	Triazolam	GABA-A receptor	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL646
2563	DB01028	Methoxyflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1341
2563	DB01154	Thiamylal	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL440
2563	DB01159	Halothane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931
2563	DB01189	Desflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200733
2563	DB01236	Sevoflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200694
2563	DB06716	Fospropofol	GABA-A receptor	Ion channel	POSITIVE ALLOSTERIC MODULATOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/019627s062lbl.pdf
4694	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
8841	DB02546	Vorinostat	Histone deacetylase 3	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL98
2906	DB00659	Acamprosate	Glutamate [NMDA] receptor	Ion channel	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293
2906	DB00915	Amantadine	Glutamate [NMDA] receptor	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL660
2906	DB01221	Ketamine	Glutamate [NMDA] receptor	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL742
4724	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
8972	DB00284	Acarbose	Maltase-glucoamylase, intestinal	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1566
8972	DB00491	Miglitol	Maltase-glucoamylase, intestinal	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1561
8913	DB00347	Trimethadione	Voltage-dependent T-type calcium channel subunit alpha-1G	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL695
8913	DB00593	Ethosuximide	Voltage-dependent T-type calcium channel subunit alpha-1G	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL696
8913	DB00617	Paramethadione	Voltage-gated T-type calcium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1100
8913	DB00832	Phensuximide	Voltage-gated T-type calcium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL797
8913	DB04841	Flunarizine	Voltage-dependent T-type calcium channel subunit alpha-1G	Ion channel	BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/19582593
8913	DB05246	Methsuximide	Voltage-gated T-type calcium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL697
3786	DB00536	Guanidine	Voltage-gated potassium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200728
3786	DB04953	Ezogabine	Potassium voltage-gated channel subfamily KQT member 3	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL41355
3786	DB06637	Dalfampridine	Voltage-gated potassium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL284348
3785	DB00536	Guanidine	Voltage-gated potassium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200728
3785	DB04953	Ezogabine	Potassium voltage-gated channel subfamily KQT member 2	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL41355
3785	DB06637	Dalfampridine	Voltage-gated potassium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL284348
771	DB00819	Acetazolamide	Carbonic anhydrase 12	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL20
771	DB01144	Diclofenamide	Carbonic anhydrase 12	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL17
4711	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4709	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4717	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4695	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4725	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
5147	DB00975	Dipyridamole	Phosphodiesterase 6	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL932
116444	DB00659	Acamprosate	Glutamate [NMDA] receptor	Ion channel	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293
116444	DB00915	Amantadine	Glutamate [NMDA] receptor	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL660
116444	DB01221	Ketamine	Glutamate [NMDA] receptor	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL742
5151	DB00975	Dipyridamole	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL932
5151	DB01148	Flavoxate	Phosphodiesterase 8	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1493
3717	DB08877	Ruxolitinib	Tyrosine-protein kinase JAK2	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1795071
10060	DB00350	Minoxidil	Sulfonylurea receptor 2, Kir6.2	Ion channel	OPENER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/18258787
348980	DB04855	Dronedarone	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1	Ion channel	BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/23647933
374291	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4720	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4726	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4707	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4722	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
8989	DB01435	Antipyrine	Transient receptor potential cation channel subfamily A member 1	Ion channel	BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/25765567
9568	DB00181	Baclofen	GABA-B receptor	GPCR	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL701
8694	DB08887	Icosapent ethyl	Diacylglycerol O-acyltransferase 1	Enzyme	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2013/202057s009lbl.pdf
8654	DB00203	Sildenafil	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL192
8654	DB00806	Pentoxifylline	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL628
8654	DB00820	Tadalafil	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL779
8654	DB00862	Vardenafil	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1520
8654	DB00975	Dipyridamole	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL932
8654	DB06237	Avanafil	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1963681
8654	DB06267	Udenafil	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/12510841
3776	DB00228	Enflurane	Potassium channel subfamily K member 2	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1257
3776	DB00753	Isoflurane	Potassium channel subfamily K member 2	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256
3776	DB01159	Halothane	Potassium channel subfamily K member 2	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931
3776	DB01189	Desflurane	Potassium channel subfamily K member 2	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200733
3776	DB01236	Sevoflurane	Potassium channel subfamily K member 2	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200694
4712	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4696	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4710	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4714	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4708	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
8912	DB00617	Paramethadione	Voltage-gated T-type calcium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1100
8912	DB00661	Verapamil	Voltage-dependent T-type calcium channel subunit alpha-1H	Ion channel	BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/1281221
8912	DB00832	Phensuximide	Voltage-gated T-type calcium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL797
8912	DB01244	Bepridil	Voltage-dependent T-type calcium channel subunit alpha-1H	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1008
8912	DB04841	Flunarizine	Voltage-dependent T-type calcium channel subunit alpha-1H	Ion channel	BLOCKER	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/19582593
8912	DB05246	Methsuximide	Voltage-gated T-type calcium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL697
4701	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
3756	DB00536	Guanidine	Voltage-gated potassium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200728
3756	DB06637	Dalfampridine	Voltage-gated potassium channel	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL284348
8622	DB00975	Dipyridamole	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL932
8622	DB01148	Flavoxate	Phosphodiesterase 8	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1493
4718	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
4705	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
19	DB01599	Probucol	ATP-binding cassette sub-family A member 1	Transporter	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL608
8698	DB08868	Fingolimod	Sphingosine 1-phosphate receptor 4	GPCR	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL544665
4716	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
125	DB01213	Fomepizole	Alcohol dehydrogenase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1308
126	DB01213	Fomepizole	Alcohol dehydrogenase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1308
1719	DB00563	Methotrexate	Dihydrofolate reductase	Enzyme	INHIBITOR	DRUG LABEL	http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/205776s000lbl.pdf
1719	DB00642	Pemetrexed	Dihydrofolate reductase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL225072
1719	DB06813	Pralatrexate	Dihydrofolate reductase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201746
2936	DB00262	Carmustine	Glutathione reductase, mitochondrial	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL513
5053	DB00360	Tetrahydrobiopterin	Phenylalanine-4-hydroxylase	Enzyme	ACTIVATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201774
25	DB00619	Imatinib	Tyrosine-protein kinase ABL1	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1642
25	DB01254	Dasatinib	Tyrosine-protein kinase ABL1	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1421
25	DB04868	Nilotinib	Tyrosine-protein kinase ABL1	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL255863
25	DB06616	Bosutinib	Tyrosine-protein kinase ABL1	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL288441
25	DB08901	Ponatinib	Tyrosine-protein kinase ABL1	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1171837
1956	DB00317	Gefitinib	Epidermal growth factor receptor	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL939
1956	DB00530	Erlotinib	Epidermal growth factor receptor	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL553
1956	DB01259	Lapatinib	Epidermal growth factor receptor	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL554
1956	DB05294	Vandetanib	Epidermal growth factor receptor	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL24828
1956	DB08916	Afatinib	Epidermal growth factor receptor	Kinase	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1173655
2147	DB00278	Argatroban	Prothrombin	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1166
2147	DB04898	Ximelagatran	Prothrombin	Enzyme	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/10102460
2147	DB06695	Dabigatran etexilate	Prothrombin	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL48361
2159	DB06228	Rivaroxaban	Coagulation factor X	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL198362
2159	DB06605	Apixaban	Coagulation factor X	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL231779
5340	DB00302	Tranexamic Acid	Plasminogen	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL877
5340	DB00513	Aminocaproic Acid	Plasminogen	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1046
5327	DB00513	Aminocaproic Acid	Tissue-type plasminogen activator	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1046
5972	DB00212	Remikiren	Renin	Enzyme	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/1830563
100	DB00552	Pentostatin	Adenosine deaminase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1580
759	DB00423	Methocarbamol	Carbonic anhydrase 1	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201117
759	DB00703	Methazolamide	Carbonic anhydrase 1	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL19
759	DB00819	Acetazolamide	Carbonic anhydrase 1	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL20
759	DB01144	Diclofenamide	Carbonic anhydrase 1	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL17
760	DB00273	Topiramate	Carbonic anhydrase 2	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL220492
760	DB00703	Methazolamide	Carbonic anhydrase 2	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL19
760	DB00819	Acetazolamide	Carbonic anhydrase 2	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL20
760	DB00869	Dorzolamide	Carbonic anhydrase 2	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL218490
760	DB01144	Diclofenamide	Carbonic anhydrase 2	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL17
760	DB01194	Brinzolamide	Carbonic anhydrase 2	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL220491
462	DB00569	Fondaparinux sodium	Antithrombin-III	Secreted	ACTIVATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200644
462	DB01225	Enoxaparin	Antithrombin-III	Secreted	ACTIVATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201685
1134	DB00202	Succinylcholine	Muscle-type nicotinic acetylcholine receptor	Ion channel	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL703
