class_id	class_name	class_source	class_type	url
CHEBI:37961	H2-receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37961
CHEBI:37962	adrenergic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37962
CHEBI:38068	antimalarial	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38068
CHEBI:38070	anti-arrhythmia drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38070
CHEBI:38147	cardiotonic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38147
CHEBI:38323	cholinergic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38323
CHEBI:38324	cholinergic agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38324
CHEBI:38325	muscarinic agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38325
CHEBI:38706	pediculicide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38706
CHEBI:38867	anaesthetic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38867
CHEBI:38870	inhalation anaesthetic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38870
CHEBI:38877	intravenous anaesthetic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38877
CHEBI:38941	schistosomicide drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38941
CHEBI:38956	ectoparasiticide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A38956
CHEBI:39116	pyrethroid ester insecticide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A39116
CHEBI:39456	antiglaucoma drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A39456
CHEBI:46787	solvent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A46787
CHEBI:47868	photosensitizing agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A47868
CHEBI:47958	nicotinic acetylcholine receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A47958
CHEBI:48218	antiseptic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48218
CHEBI:48278	serotonergic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48278
CHEBI:48279	serotonergic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48279
CHEBI:48318	fragrance	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48318
CHEBI:48354	polar solvent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48354
CHEBI:48356	protic solvent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48356
CHEBI:48407	antiparkinson drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48407
CHEBI:48422	angiogenesis inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48422
CHEBI:48425	topical anaesthetic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48425
CHEBI:48525	calcimimetic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48525
CHEBI:48539	alpha-adrenergic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48539
CHEBI:48560	dopaminergic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48560
CHEBI:48561	dopaminergic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48561
CHEBI:48675	antifibrinolytic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48675
CHEBI:48676	fibrin modulating drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48676
CHEBI:48873	cholinergic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48873
CHEBI:48876	muscarinic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48876
CHEBI:48878	nicotinic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A48878
CHEBI:49020	hormone antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49020
CHEBI:49023	prostaglandin antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49023
CHEBI:49110	peripheral nervous system drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49110
CHEBI:49159	leukotriene antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49159
CHEBI:49167	anti-asthmatic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49167
CHEBI:49201	anti-ulcer drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49201
CHEBI:49323	contraceptive drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49323
CHEBI:49324	female contraceptive drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49324
CHEBI:49326	synthetic oral contraceptive	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A49326
CHEBI:50141	bronchoconstrictor agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50141
CHEBI:50176	keratolytic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50176
CHEBI:50177	dermatologic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50177
CHEBI:50247	antidote	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50247
CHEBI:50248	hematologic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50248
CHEBI:50249	anticoagulant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50249
CHEBI:50266	prodrug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50266
CHEBI:50267	protective agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50267
CHEBI:50268	GABA modulator	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50268
CHEBI:50370	parasympatholytic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50370
CHEBI:50427	platelet aggregation inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50427
CHEBI:50433	platelet glycoprotein-IIb/IIIa receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50433
CHEBI:50503	laxative	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50503
CHEBI:50507	appetite depressant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50507
CHEBI:50513	mydriatic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50513
CHEBI:50514	vasoconstrictor agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50514
CHEBI:50646	bone density conservation agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50646
CHEBI:50671	antithyroid drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50671
CHEBI:50684	cross-linking reagent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50684
CHEBI:50685	antitrichomonal drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50685
CHEBI:50691	abortifacient	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50691
CHEBI:50733	nutraceutical	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50733
CHEBI:50739	estrogen receptor modulator	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50739
CHEBI:50741	retinoic acid receptor alpha/beta agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50741
CHEBI:50748	antipsoriatic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50748
CHEBI:50751	anti-estrogen	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50751
CHEBI:50779	appetite enhancer	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50779
CHEBI:50792	estrogen receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50792
CHEBI:50827	antiparathyroid drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50827
CHEBI:50837	estrogen antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50837
CHEBI:50846	immunomodulator	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50846
CHEBI:50847	immunological adjuvant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50847
CHEBI:50857	anti-allergic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50857
CHEBI:50864	insulin-sensitizing drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50864
CHEBI:50919	antiemetic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50919
CHEBI:50949	serotonin uptake inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A50949
CHEBI:51039	dopamine uptake inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51039
CHEBI:51060	hormone agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51060
CHEBI:51065	dopamine agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51065
CHEBI:51068	miotic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51068
CHEBI:51121	fluorescent dye	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51121
CHEBI:51177	antitussive	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51177
CHEBI:51371	muscle relaxant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51371
CHEBI:51372	neuromuscular agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51372
CHEBI:51373	GABA agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51373
CHEBI:51374	GABA agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51374
CHEBI:51451	endothelin receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A51451
CHEBI:52425	EC 3.2.1.18 (exo-alpha-sialidase) inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A52425
CHEBI:52726	proteasome inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A52726
CHEBI:53784	antispasmodic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A53784
CHEBI:55322	mu-opioid receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A55322
CHEBI:55323	antidiarrhoeal drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A55323
CHEBI:55324	gastrointestinal drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A55324
CHEBI:59010	antiseborrheic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59010
CHEBI:59163	biomarker	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59163
CHEBI:59229	GnRH antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59229
CHEBI:59282	kappa-opioid receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59282
CHEBI:59283	delta-opioid receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59283
CHEBI:59680	vasopressin  receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59680
CHEBI:59683	antipruritic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59683
CHEBI:59727	vasopressin receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59727
CHEBI:59844	antihyperplasia drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59844
CHEBI:59886	HIV fusion inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A59886
CHEBI:60606	opioid receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A60606
CHEBI:60807	anaesthesia adjuvant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A60807
CHEBI:60809	adjuvant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A60809
CHEBI:61016	angiotensin receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A61016
CHEBI:62868	hepatoprotective agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A62868
CHEBI:63533	gonadotropin releasing hormone agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A63533
CHEBI:63726	neuroprotective agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A63726
CHEBI:64047	food additive	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A64047
CHEBI:64049	food acidity regulator	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A64049
CHEBI:64370	glutamate transporter activator	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A64370
CHEBI:64571	NMDA receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A64571
CHEBI:64577	flour treatment agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A64577
CHEBI:64933	melanin synthesis inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A64933
CHEBI:65023	anti-asthmatic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A65023
CHEBI:65190	first generation antipsychotic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A65190
CHEBI:65191	second generation antipsychotic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A65191
CHEBI:65256	antimicrobial food preservative	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A65256
CHEBI:65259	GABA antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A65259
CHEBI:65265	antacid	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A65265
CHEBI:66956	antidyskinesia agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A66956
CHEBI:66980	nootropic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A66980
CHEBI:66981	ophthalmology drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A66981
CHEBI:66991	sympatholytic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A66991
CHEBI:66993	tocolytic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A66993
CHEBI:67079	anti-inflammatory agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A67079
CHEBI:67105	insect sterilant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A67105
CHEBI:67170	anti-angiogenic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A67170
CHEBI:67198	retinoic acid receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A67198
CHEBI:70709	progesterone receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A70709
CHEBI:70868	antileishmanial agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A70868
CHEBI:71031	orphan drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A71031
CHEBI:71173	H1-receptor agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A71173
CHEBI:73182	plant activator	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A73182
CHEBI:73333	scabicide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A73333
CHEBI:73336	vulnerary	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A73336
CHEBI:74529	antidote to paracetamol poisoning	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A74529
CHEBI:74530	antidote to curare poisoning	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A74530
CHEBI:75769	B vitamin	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A75769
CHEBI:77034	mucolytic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77034
CHEBI:77035	expectorant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77035
CHEBI:77178	histological dye	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77178
CHEBI:77182	food colouring	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77182
CHEBI:77307	cardioprotective agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77307
CHEBI:77567	eugeroic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77567
CHEBI:77608	loop diuretic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77608
CHEBI:77715	nasal decongestant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77715
CHEBI:77962	food antioxidant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77962
CHEBI:77965	food anticaking agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A77965
CHEBI:85046	skin lightening agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A85046
CHEBI:85384	GABA reuptake inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A85384
CHEBI:86327	antifungal drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A86327
CHEBI:86328	antifungal agrochemical	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A86328
CHEBI:88188	drug allergen	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A88188
CHEBI:90753	antidote to organophosphate poisoning	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A90753
CHEBI:90755	antidote to opioid poisoning	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A90755
CHEBI:90757	antidote to benzodiazepine poisoning	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A90757
N0000005760	Aminosalicylic Acids	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000005760
N0000005934	Progesterone	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000005934
N0000006014	Pyrethrins	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006014
N0000006165	Triiodothyronine	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006165
N0000006269	Vitamin A	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006269
N0000006276	Vitamin B 12	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006276
N0000006277	Vitamin D	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006277
N0000006290	Vitamin K	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006290
N0000006320	Vasopressins	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006320
N0000006337	Ergocalciferols	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006337
N0000006496	Nicotine	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006496
N0000006688	Carnitine	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006688
N0000006801	Bile Acids and Salts	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006801
N0000006806	Amino Acids	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006806
N0000006996	Cholecalciferol	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006996
N0000006999	Urea	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000006999
N0000007151	Folic Acid	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007151
N0000007196	Iodine	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007196
N0000007246	Estradiol	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007246
N0000007522	Allylamine	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007522
N0000007529	Macrolides	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007529
N0000007530	Anthracyclines	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007530
N0000007542	Benzodiazepines	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007542
N0000007544	Phenothiazines	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007544
N0000007556	Dihydropyridines	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007556
N0000007566	Benzylamines	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007566
N0000007568	Oxazolidinones	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007568
N0000007570	Pyridines	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007570
N0000007606	Quinolones	FDA	Chemical/Ingredient	http://purl.bioontology.org/ontology/NDFRT/N0000007606
